,0
0,1
1,150
2,450
3,100
4,150
5,500
6,300
7,1
8,1
9,450
10,50
11,50
12,250
13,300
14,160
15,249
16,200
17,80
18,200
19,300
20,175
21,100
22,30
23,275
24,300
25,500
26,400
27,250
28,400
29,400
30,550
31,75
32,125
33,325
34,400
35,100
36,150
37,175
38,150
39,200
40,100
41,150
42,200
43,300
44,1
45,1
46,1
47,75
48,120
49,450
50,399
51,499
52,180
53,200
54,123
55,300
56,400
57,450
58,500
59,350
60,400
61,1
62,1
63,500
64,150
65,150
66,150
67,600
68,225
69,250
70,1
71,1
72,150
73,600
74,100
75,100
76,500
77,300
78,115
79,180
80,1
81,299
82,355
83,475
84,250
85,75
86,100
87,150
88,400
89,475
90,100
91,200
92,300
93,495
94,1
95,450
96,350
97,100
98,75
99,75
100,1
101,90
102,75
103,100
104,1
105,1
106,75
107,100
108,100
109,120
110,200
111,600
112,300
113,400
114,200
115,325
116,350
117,100
118,125
119,100
120,519
121,65
122,75
123,275
124,400
125,50
126,300
127,200
128,450
129,30
130,50
131,50
132,150
133,599
134,20
135,400
136,1
137,100
138,300
139,400
140,200
141,250
142,150
143,1
144,300
145,1
146,200
147,80
148,100
149,100
150,150
151,200
152,175
153,250
154,249
155,449
156,300
157,350
158,400
159,600
160,500
161,200
162,499
163,550
164,2
165,30
166,50
167,299
168,375
169,30
170,200
171,50
172,75
173,597
174,50
175,400
176,100
177,350
178,450
179,599
180,100
181,150
182,200
183,75
184,200
185,190
186,190
187,400
188,15
189,40
190,150
191,200
192,430
193,1
194,75
195,100
196,295
197,250
198,200
199,39
200,180
201,250
202,300
203,1
204,120
205,150
206,375
207,600
208,50
209,450
210,600
211,150
212,575
213,600
214,200
215,300
216,100
217,200
218,250
219,160
220,1
221,460
222,250
223,350
224,100
225,550
226,300
227,500
228,500
229,130
230,1
231,1
232,100
233,150
234,250
235,125
236,200
237,65
238,65
239,450
240,600
241,600
242,300
243,400
244,599
245,100
246,70
247,100
248,150
249,350
250,120
251,40
252,100
253,480
254,200
255,350
256,200
257,400
258,600
259,180
260,200
261,25
262,75
263,150
264,350
265,290
266,390
267,1
268,600
269,150
270,1
271,500
272,250
273,300
274,150
275,1
276,250
277,450
278,200
279,300
280,50
281,175
282,500
283,550
284,50
285,75
286,150
287,200
288,1
289,1
290,200
291,400
292,500
293,1
294,150
295,200
296,600
297,250
298,300
299,100
300,250
301,300
302,600
303,1
304,335
305,75
306,150
307,200
308,150
309,150
310,1
311,180
312,200
313,200
314,300
315,100
316,300
317,150
318,250
319,75
320,150
321,140
322,200
323,450
324,225
325,250
326,475
327,600
328,10
329,100
330,220
331,100
332,200
333,1
334,500
335,275
336,350
337,550
338,600
339,100
340,450
341,315
342,350
343,200
344,100
345,150
346,550
347,300
348,250
349,275
350,150
351,250
352,200
353,350
354,250
355,400
356,65
357,65
358,3
359,600
360,250
361,350
362,500
363,600
364,495
365,600
366,299
367,599
368,150
369,295
370,325
371,400
372,100
373,150
374,599
375,160
376,220
377,270
378,500
379,500
380,600
381,300
382,2
383,499
384,449
385,600
386,350
387,400
388,250
389,280
390,100
391,150
392,450
393,500
394,300
395,500
396,360
397,500
398,1
399,85
400,100
401,210
402,325
403,250
404,500
405,275
406,300
407,50
408,1
409,150
410,250
411,200
412,300
413,275
414,325
415,350
416,1
417,449
418,399
419,299
420,5
421,6
422,400
423,500
424,2
425,500
426,1
427,599
428,200
429,200
430,225
431,425
432,150
433,200
434,600
435,50
436,1
437,150
438,1
439,200
440,350
441,390
442,600
443,300
444,350
445,380
446,400
447,200
448,300
449,2
450,110
451,180
452,200
453,300
454,125
455,150
456,75
457,275
458,249
459,2
460,3
461,50
462,60
463,150
464,200
465,100
466,200
467,500
468,50
469,100
470,1
471,111
472,600
473,450
474,500
475,600
476,90
477,1
478,540
479,600
480,200
481,285
482,85
483,150
484,200
485,100
486,199
487,310
488,1
489,450
490,600
491,1
492,1
493,550
494,300
495,350
496,100
497,250
498,450
499,400
500,500
501,400
502,500
503,350
504,600
505,250
506,400
507,500
508,1
509,70
510,100
511,100
512,160
513,200
514,1
515,500
516,175
517,1
518,75
519,350
520,450
521,500
522,550
523,1
524,500
525,599
526,125
527,599
528,20
529,235
530,500
531,100
532,250
533,180
534,200
535,350
536,3
537,75
538,125
539,450
540,75
541,150
542,100
543,200
544,1
545,150
546,250
547,500
548,2
549,500
550,200
551,65
552,80
